id,old_id,name,reaction_eq_annotation,reaction_eq,reaction_abbreviation,reaction_eq_name,GPR,lower_bound,upper_bound,Object,EC_number,Unique_EC,annotation,Subsystem,KEGG_pathway,KEGG_iZM516_pathway,notes,annotated_in_pathway
rxn00085,rxn00085_c0,L_Glutamate_NADP_plus__oxidoreductase_transaminating_c0,"{""cpd00006_c0"":-1.0,""cpd00023_c0"":-2.0,""cpd00005_c0"":1.0,""cpd00024_c0"":1.0,""cpd00053_c0"":1.0,""cpd00067_c0"":1.0}",cpd00006_c0 + 2.0 cpd00023_c0 <=> cpd00005_c0 + cpd00024_c0 + cpd00053_c0 + cpd00067_c0,nadp_c + 2.0 glu-L_c <-- nadph_c + akg_c + gln-L_c + h_c,NADP_c0 + 2.0 L_Glutamate_c0 <=> NADPH_c0 + 2_Oxoglutarate_c0 + L_Glutamine_c0 + H_plus_c0,ZMO1116 and ZMO1117,-1000,0,0,1.4.1.13,1.4.1.13,"{'AraCyc': 'GLUTAMATESYN-RXN', 'bigg.reaction': 'GLUSy', 'ChlamyCyc': 'GLUTAMATESYN-RXN', 'kegg.reaction': 'R00114', 'biocyc': 'META:GLUTAMATESYN-RXN', 'seed.reaction': 'rxn00085', 'ec-code': '1.4.1.13', 'rhea': '15503','sbo':'SBO:0000176'}","CBSS-155864.1.peg.3753; Glutamine, glutamate, aspartate, asparagine; ammonia assimilation; Folate and pterines; Ammonium_metabolism_H._pylori; Iron-sulfur_experimental; Ammonia_assimilation",Biosynthesis of secondary metabolites,Amino acids,,glutamate and glutamine metabolism
rxn00086,rxn00086_c0,glutathione_NADP_plus__oxidoreductase_c0,"{""cpd00006_c0"":-1.0,""cpd00042_c0"":-2.0,""cpd00005_c0"":1.0,""cpd00067_c0"":1.0,""cpd00111_c0"":1.0}",cpd00006_c0 + 2.0 cpd00042_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00111_c0,nadp_c + 2.0 gthrd_c <-- nadph_c + h_c + gthox_c,NADP_c0 + 2.0 GSH_c0 <=> NADPH_c0 + H_plus_c0 + Oxidized_glutathione_c0,ZMO1211,-1000,0,0,1.6.4.2|1.8.1.7,1.8.1.7,"{'AraCyc': 'GLUTATHIONE-REDUCT-NADPH-RXN', 'bigg.reaction': 'GLR1; GTHO; GTHOm; GTHOr; GTHRD', 'BrachyCyc': 'GLUTATHIONE-REDUCT-NADPH-RXN', 'kegg.reaction': 'R00115', 'biocyc': 'META:GLUTATHIONE-REDUCT-NADPH-RXN', 'seed.reaction': 'rxn00086', 'ec-code': '1.8.1.7', 'rhea': '11742','sbo':'SBO:0000176'}",Experimental-DCE_degrader; Oxidative stress,Glutathione metabolism,Other amino acids,,glutathione metabolism
rxn00097,rxn00097_c0,ATP_AMP_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00018_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00008_c0"":2.0}",cpd00002_c0 + cpd00018_c0 + cpd00067_c0 <=> 2.0 cpd00008_c0,atp_c + amp_c + h_c <=> 2.0 adp_c,ATP_c0 + AMP_c0 + H_plus_c0 <=> 2.0 ADP_c0,ZMO0538 or ZMO1003,-1000,1000,0,2.7.4.3,2.7.4.3,"{'AraCyc': 'ADENYL-KIN-RXN; RXN4FS-19', 'bigg.reaction': 'ADK1; ADK1_1; ADK1m; ADK2_1', 'BrachyCyc': 'ADENYL-KIN-RXN', 'kegg.reaction': 'R00127', 'biocyc': 'META:ADENYL-KIN-RXN', 'seed.reaction': 'rxn00097','sbo':'SBO:0000176'}",271-Bsub; Purines,Purine metabolism,Nucleotide,,purine metabolism
rxn00100,rxn00100_c0,ATP_dephospho_CoA_3_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00655_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00010_c0"":1.0}",cpd00002_c0 + cpd00655_c0 --> cpd00008_c0 + cpd00010_c0,atp_c + dpcoa_c --> adp_c + coa_c,ATP_c0 + Dephospho_CoA_c0 --> ADP_c0 + CoA_c0,ZMO0040,0,1000,0,2.7.1.24,2.7.1.24,"{'AraCyc': 'DEPHOSPHOCOAKIN-RXN', 'bigg.reaction': 'DPCOAK; DPCOAKm; U96; U97', 'BrachyCyc': 'DEPHOSPHOCOAKIN-RXN', 'kegg.reaction': 'R00130', 'biocyc': 'META:DEPHOSPHOCOAKIN-RXN', 'seed.reaction': 'rxn00100', 'ec-code': '2.7.1.24', 'rhea': '18246','sbo':'SBO:0000176'}",CBSS-562.2.peg.633; Coenzyme A; 271-Bsub,Pantothenate and CoA biosynthesis,Cofactor/vitamin,,coenzyme A metabolism
rxn00102,rxn00102_c0,carbonate_hydro_lyase_carbon_dioxide_forming_c0,"{""cpd00067_c0"":-1.0,""cpd00242_c0"":-1.0,""cpd00001_c0"":1.0,""cpd00011_c0"":1.0}",cpd00067_c0 + cpd00242_c0 <=> cpd00001_c0 + cpd00011_c0,h_c + hco3_c <=> h2o_c + co2_c,H_plus_c0 + H2CO3_c0 <=> H2O_c0 + CO2_c0,ZMO1133,-1000,1000,0,4.2.1.1,4.2.1.1,"{'AraCyc': 'CARBODEHYDRAT-RXN; RXN0-5224', 'bigg.reaction': 'H2CO3D; HCO3E; HCO3Em; HCO3En', 'BrachyCyc': 'CARBODEHYDRAT-RXN; RXN0-5224', 'kegg.reaction': 'R00132; R10092', 'biocyc': 'META:CARBODEHYDRAT-RXN; RXN0-5224', 'seed.reaction': 'rxn00102','sbo':'SBO:0000176'}",COG0523; CO2 fixation; CobW; Cyanate_hydrolysis; Zinc_regulated_enzymes; Bacterial_cyanide_production_and_tolerance_mechanisms,Nitrogen metabolism,Energy,,cyanate degradation
rxn00105,rxn00105_c0,ATP_nicotinamide_nucleotide_adenylyltransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00355_c0"":-1.0,""cpd00003_c0"":1.0,""cpd00012_c0"":1.0}",cpd00002_c0 + cpd00355_c0 <=> cpd00003_c0 + cpd00012_c0,atp_c + nmn_c --> nad_c + ppi_c,ATP_c0 + Nicotinamide_ribonucleotide_c0 <=> NAD_c0 + PPi_c0,ZMO1662,0,1000,0,2.7.7.1|2.7.7.18,2.7.7.18,"{'AraCyc': '2.7.7.1-RXN', 'bigg.reaction': 'NMNAT; NMNATm; NMNATr; YLR328W_3', 'BrachyCyc': '2.7.7.1-RXN', 'kegg.reaction': 'R00137', 'biocyc': 'META:2.7.7.1-RXN', 'seed.reaction': 'rxn00105', 'ec-code': '2.7.7.1', 'rhea': '21361','sbo':'SBO:0000176'}",NAD and NADP; Supplement for the paper 1; Supplement for the paper 2; Oxidative stress,Nicotinate and nicotinamide metabolism,Cofactor/vitamin,,NAD metabolism
rxn00109,rxn00109_c0,ammonia_NAD_plus__oxidoreductase_c0,"{""cpd00001_c0"":-1.0,""cpd00003_c0"":-1.0,""cpd00013_c0"":-1.0,""cpd00004_c0"":1.0,""cpd00067_c0"":2.0,""cpd00165_c0"":1.0}",cpd00001_c0 + cpd00003_c0 + cpd00013_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00165_c0,h2o_c + nad_c + nh4_c <=> nadh_c + 2.0 h_c + Hydroxylamine_c,H2O_c0 + NAD_c0 + NH3_c0 <=> NADH_c0 + 2.0 H_plus_c0 + Hydroxylamine_c0,ZMO0117,-1000,1000,0,1.7.1.10|1.7.99.1,1.7.1.10|1.7.99.1,"{'ChlamyCyc': 'HYDROXYLAMINE-REDUCTASE-NADH-RXN', 'kegg.reaction': 'R00143', 'biocyc': 'META:HYDROXYLAMINE-REDUCTASE-NADH-RXN', 'seed.reaction': 'rxn00109', 'ec-code': '1.7.1.10', 'rhea': '20581','sbo':'SBO:0000176'}",,Nitrogen metabolism,Energy,,nitrate assimilation
rxn00113,rxn00113_c0,Carbon_dioxide_ammonia_ligase_ADP_forming_carbamate_phosphorylating_c0,"{""cpd00001_c0"":-1.0,""cpd00002_c0"":-2.0,""cpd00011_c0"":-1.0,""cpd00013_c0"":-1.0,""cpd00008_c0"":2.0,""cpd00009_c0"":1.0,""cpd00067_c0"":3.0,""cpd00146_c0"":1.0}",cpd00001_c0 + 2.0 cpd00002_c0 + cpd00011_c0 + cpd00013_c0 <=> 2.0 cpd00008_c0 + cpd00009_c0 + 3.0 cpd00067_c0 + cpd00146_c0,h2o_c + 2.0 atp_c + co2_c + nh4_c <-- 2.0 adp_c + pi_c + 3.0 h_c + cbp_c,H2O_c0 + 2.0 ATP_c0 + CO2_c0 + NH3_c0 <=> 2.0 ADP_c0 + Phosphate_c0 + 3.0 H_plus_c0 + Carbamoylphosphate_c0,ZMO0462,-1000,0,0,6.3.4.16|6.3.4.16-,6.3.4.16,"{'AraCyc': '6.3.4.16-RXN', 'BrachyCyc': '6.3.4.16-RXN', 'ChlamyCyc': '6.3.4.16-RXN', 'kegg.reaction': 'R00149', 'biocyc': 'META:6.3.4.16-RXN', 'seed.reaction': 'rxn00113','sbo':'SBO:0000176'}",,Carbon metabolism,Carbohydrate,,
rxn00119,rxn00119_c0,ATP_UMP_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00091_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00014_c0"":1.0}",cpd00002_c0 + cpd00067_c0 + cpd00091_c0 <=> cpd00008_c0 + cpd00014_c0,atp_c + h_c + ump_c <=> adp_c + UDP_c,ATP_c0 + H_plus_c0 + UMP_c0 <=> ADP_c0 + UDP_c0,ZMO1154,-1000,1000,0,2.7.4.14|2.7.4.22,2.7.4.22,"{'AraCyc': '2.7.4.22-RXN; RXN-12002; UMPKI-RXN', 'bigg.reaction': 'UMPK; UMPKURIDK1; UMPKn; URA6_1; URA6_2; URIDK1', 'BrachyCyc': '2.7.4.22-RXN; UMPKI-RXN', 'kegg.reaction': 'R00158', 'biocyc': 'META:2.7.4.22-RXN; RXN-12002', 'seed.reaction': 'rxn00119','sbo':'SBO:0000176'}",CBSS-176299.4.peg.1996; CBSS-312309.3.peg.1965,Pyrimidine metabolism,Nucleotide,,pyrimidine metabolism
rxn00122,rxn00122_c0,ATP_FMN_adenylyltransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00050_c0"":-1.0,""cpd00012_c0"":1.0,""cpd00015_c0"":1.0}",cpd00002_c0 + cpd00050_c0 --> cpd00012_c0 + cpd00015_c0,atp_c + FMN_c --> ppi_c + fad_c,ATP_c0 + FMN_c0 --> PPi_c0 + FAD_c0,ZMO0322,0,1000,0,2.7.7.2,2.7.7.2,"{'AraCyc': 'FADSYN-RXN', 'bigg.reaction': 'FAD1; FMNAT; FMNATm; FMNATr; U80', 'BrachyCyc': 'FADSYN-RXN', 'kegg.reaction': 'R00161', 'biocyc': 'META:FADSYN-RXN', 'seed.reaction': 'rxn00122', 'ec-code': '2.7.7.2', 'rhea': '17238','sbo':'SBO:0000176'}","CBSS-350688.3.peg.1509; Riboflavin, FMN, FAD; rRNA_methylation_in_clusters; Oxidative stress",Riboflavin metabolism,Cofactor/vitamin,,flavin biosynthesis
rxn00124,rxn00124_c0,ATP_pyridoxal_5_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00215_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00016_c0"":1.0,""cpd00067_c0"":1.0}",cpd00002_c0 + cpd00215_c0 <=> cpd00008_c0 + cpd00016_c0 + cpd00067_c0,atp_c + pydx_c <=> adp_c + pydx5p_c + h_c,ATP_c0 + Pyridoxal_c0 <=> ADP_c0 + Pyridoxal_phosphate_c0 + H_plus_c0,ZMO1600,-1000,1000,0,2.7.1.35,2.7.1.35,"{'AraCyc': 'PYRIDOXKIN-RXN', 'bigg.reaction': 'PYDXK; U83', 'BrachyCyc': 'PYRIDOXKIN-RXN', 'kegg.reaction': 'R00174', 'biocyc': 'META:PYRIDOXKIN-RXN', 'seed.reaction': 'rxn00124', 'ec-code': '2.7.1.35', 'rhea': '10225','sbo':'SBO:0000176'}",Pyridoxine; Plant-Prokaryote DOE project,Vitamin B6 metabolism,Cofactor/vitamin,,
rxn00126,rxn00126_c0,ATP_L_methionine_S_adenosyltransferase_c0,"{""cpd00001_c0"":-1.0,""cpd00002_c0"":-1.0,""cpd00060_c0"":-1.0,""cpd00009_c0"":1.0,""cpd00012_c0"":1.0,""cpd00017_c0"":1.0,""cpd00067_c0"":1.0}",cpd00001_c0 + cpd00002_c0 + cpd00060_c0 --> cpd00009_c0 + cpd00012_c0 + cpd00017_c0 + cpd00067_c0,h2o_c + atp_c + met-L_c --> pi_c + ppi_c + amet_c + h_c,H2O_c0 + ATP_c0 + L_Methionine_c0 --> Phosphate_c0 + PPi_c0 + S_Adenosyl_L_methionine_c0 + H_plus_c0,ZMO0273,0,1000,0,2.5.1.6,2.5.1.6,"{'AraCyc': 'S-ADENMETSYN-RXN', 'bigg.reaction': 'METAT; SAM1; SAM2', 'BrachyCyc': 'S-ADENMETSYN-RXN', 'kegg.reaction': 'R00177', 'biocyc': 'META:S-ADENMETSYN-RXN', 'seed.reaction': 'rxn00126', 'ec-code': '2.5.1.6', 'rhea': '21081','sbo':'SBO:0000176'}","Lysine, threonine, methionine, and cysteine; 271-Bsub; ArsR_methyltransferase_fusion; Experimental_Sulfur_transfer_Archaea; S-Adenosylhomocysteine_and_S-Methylthioadenosine_metabolism; Quorum sensing and biofilm formation",Biosynthesis of secondary metabolites,Amino acids,,methionine metabolism
rxn00127,db_rxn00127,S-Adenosyl-L-methionine carboxy-lyase,"{""cpd00017_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00011_c0"":1.0,""cpd00837_c0"":1.0}",cpd00017_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd00837_c0,amet_c + h_c --> co2_c + ametam_c,S_Adenosyl_L_methionine_c0 + H_plus_c0 <=> CO2_c0 + S_Adenosylmethioninamine_c0,,0,1000,0,4.1.1.50,4.1.1.50,"{'AraCyc': 'SAMDECARB-RXN', 'bigg.reaction': 'ADMDC; ADMDCr; SPE2', 'BrachyCyc': 'SAMDECARB-RXN', 'kegg.reaction': 'R00178', 'biocyc': 'META:SAMDECARB-RXN', 'seed.reaction': 'rxn00127', 'ec-code': '4.1.1.50', 'rhea': '15982','sbo':'SBO:0000176'}","Arginine; urea cycle, polyamines",Cysteine and methionine metabolism,Amino acids,,
rxn00134,rxn00134_c0,ATP_adenosine_5_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00182_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00018_c0"":1.0,""cpd00067_c0"":1.0}",cpd00002_c0 + cpd00182_c0 <=> cpd00008_c0 + cpd00018_c0 + cpd00067_c0,atp_c + adn_c --> adp_c + amp_c + h_c,ATP_c0 + Adenosine_c0 <=> ADP_c0 + AMP_c0 + H_plus_c0,ZMO0040,0,1000,0,2.7.1.20|2.7.1.74,2.7.1.20,"{'AraCyc': 'ADENOSINE-KINASE-RXN', 'bigg.reaction': 'ADNK1; YJR105W', 'BrachyCyc': 'ADENOSINE-KINASE-RXN', 'kegg.reaction': 'R00185', 'biocyc': 'META:ADENOSINE-KINASE-RXN', 'seed.reaction': 'rxn00134', 'ec-code': '2.7.1.20', 'rhea': '20825','sbo':'SBO:0000176'}",Purines,Purine metabolism,Nucleotide,,
rxn00137,rxn00137_c0,Adenosine_3_5_bisphosphate_3_phosphohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00045_c0"":-1.0,""cpd00009_c0"":1.0,""cpd00018_c0"":1.0}",cpd00001_c0 + cpd00045_c0 --> cpd00009_c0 + cpd00018_c0,h2o_c + pap_c --> pi_c + amp_c,H2O_c0 + Adenosine_3_5_bisphosphate_c0 --> Phosphate_c0 + AMP_c0,ZMO0734,0,1000,0,3.1.3.7,3.1.3.7,"{'AraCyc': '325-BISPHOSPHATE-NUCLEOTIDASE-RXN', 'bigg.reaction': 'BPNT; MET22', 'BrachyCyc': '325-BISPHOSPHATE-NUCLEOTIDASE-RXN', 'kegg.reaction': 'R00188', 'biocyc': 'META:325-BISPHOSPHATE-NUCLEOTIDASE-RXN', 'seed.reaction': 'rxn00137', 'ec-code': '3.1.3.7', 'rhea': '10041','sbo':'SBO:0000176'}",Sulfate_Assimilation_Shewanella; Inorganic sulfur assimilation,,Amino acids,,
